County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Effingham County,91251,1124053.0,0.06,1.71,0.15,0.01,0.21,0.1,0.61,0.3,1.7
El Dorado County,185015,3321762.0,0.28,1.8,0.02,0.08,0.23,0.2,0.93,0.44,1.75
El Paso County,1509651,15288841.0,1.02,0.73,0.08,0.03,0.36,0.14,0.63,0.41,1.5
Elbert County,43841,801975.0,0.15,2.17,0.35,0.01,0.33,0.15,0.96,0.41,2.21
Elk County,33362,487158.0,0.03,2.9,0.01,0.01,0.3,0.15,0.8,0.44,2.49
Elkhart County,202924,1879968.0,0.28,1.31,0.11,0.02,0.27,0.1,0.44,0.26,1.35
Elko County,52377,979521.0,0.65,1.76,0.03,0.04,0.32,0.14,0.63,0.57,1.63
Elliott County,7533,54831.0,0.01,2.58,0.06,0.0,0.93,0.13,0.55,0.55,2.16
Ellis County,197071,2542300.0,0.43,1.35,0.14,0.02,0.24,0.08,0.63,0.29,1.64
Ellsworth County,6331,96801.0,0.18,2.76,0.09,0.01,0.35,0.1,1.11,0.61,2.45
Elmore County,107221,1059690.0,0.12,1.36,0.31,0.02,0.26,0.14,0.6,0.27,1.58
Emanuel County,22502,209543.0,0.09,1.72,0.82,0.0,0.77,0.3,0.7,0.52,2.23
Emery County,10410,156207.0,0.18,2.64,0.0,0.02,0.38,0.13,0.84,0.61,2.36
Emmet County,42639,627060.0,0.1,2.55,0.02,0.01,0.33,0.16,0.96,0.56,2.2
Emmons County,3389,46581.0,0.01,2.85,0.0,0.03,0.35,0.05,1.22,0.43,2.0
Emporia city,5495,57726.0,0.21,1.13,2.28,0.01,1.11,0.74,1.19,0.55,2.89
Erath County,41016,396061.0,0.38,1.49,0.03,0.02,0.39,0.08,0.62,0.4,1.62
Erie County,1277158,16775416.0,0.14,1.89,0.36,0.07,0.44,0.17,0.87,0.52,1.98
Escambia County,347545,3794329.0,0.11,1.43,0.6,0.05,0.39,0.2,0.72,0.49,1.79
Esmeralda County,1102,39405.0,1.42,7.26,0.06,0.0,0.62,0.35,2.81,1.4,5.85
Essex County,1631780,26776629.0,0.49,1.14,0.62,0.09,0.37,0.22,0.87,0.5,1.58
Estill County,14382,121914.0,0.02,2.65,0.0,0.0,0.79,0.4,0.66,0.4,2.14
Etowah County,103132,1199330.0,0.14,2.09,0.6,0.02,0.63,0.26,0.74,0.6,2.44
Eureka County,1728,67159.0,0.09,5.6,0.01,0.0,0.58,0.0,1.77,0.79,3.09
Evangeline Parish,33750,273311.0,0.06,1.58,0.68,0.01,0.64,0.28,0.63,0.52,2.05
Evans County,10757,127345.0,0.35,1.58,0.81,0.02,0.73,0.18,0.79,0.43,2.13
Fairbanks North Star Borough,100031,1362037.0,0.14,1.33,0.08,0.06,0.17,0.16,0.69,0.33,1.41
Fairfax County,1142004,32008141.0,0.34,1.2,0.2,0.41,0.13,0.1,1.29,0.31,1.6
Fairfax city,23580,517567.0,0.35,1.24,0.1,0.33,0.17,0.09,1.12,0.37,1.48
Fairfield County,1121722,22007951.0,0.37,1.4,0.24,0.1,0.21,0.17,0.93,0.4,1.57
Fajardo Municipio,33075,176059.0,2.69,0.02,0.01,0.01,1.21,0.76,0.64,0.82,2.11
Fall River County,6783,96861.0,0.1,2.55,0.02,0.04,0.47,0.08,0.97,0.72,2.12
Fallon County,2925,56806.0,0.06,3.21,0.05,0.03,0.2,0.06,0.86,0.59,2.55
Falls Church city,13843,350994.0,0.2,1.6,0.09,0.2,0.06,0.1,1.5,0.22,1.29
Falls County,17289,235670.0,0.77,1.77,0.87,0.01,0.87,0.23,0.76,0.71,2.74
Fannin County,58267,662145.0,0.17,2.06,0.1,0.02,0.37,0.15,0.73,0.43,1.93
Faribault County,13966,314433.0,0.25,3.96,0.01,0.01,0.48,0.13,1.42,0.64,3.44
Faulk County,2327,46750.0,0.05,4.07,0.0,0.0,0.47,0.01,1.77,0.88,2.83
Faulkner County,121282,1277068.0,0.09,1.65,0.25,0.02,0.35,0.11,0.71,0.38,1.7
Fauquier County,68406,1639972.0,0.17,2.03,0.18,0.03,0.16,0.1,1.07,0.42,1.98
Fayette County,778337,11079207.0,0.12,2.05,0.29,0.05,0.44,0.17,0.9,0.47,2.09
Fentress County,17940,135389.0,0.03,2.16,0.0,0.01,0.52,0.16,0.47,0.57,1.8
Fergus County,11327,95663.0,0.04,1.67,0.0,0.01,0.27,0.05,0.69,0.25,1.2
Ferry County,7568,118640.0,0.17,2.68,0.0,0.03,0.89,0.42,1.44,0.73,2.6
Fillmore County,26428,454392.0,0.06,2.91,0.01,0.01,0.34,0.09,1.04,0.49,2.25
Finney County,37097,682617.0,1.58,1.38,0.06,0.13,0.54,0.14,0.8,0.58,2.58
Fisher County,3875,91131.0,1.53,3.44,0.15,0.02,0.88,0.29,1.69,0.86,4.2
Flagler County,105015,1042004.0,0.17,1.47,0.17,0.04,0.25,0.13,0.63,0.35,1.54
Flathead County,96147,996311.0,0.05,1.85,0.01,0.01,0.28,0.08,0.67,0.37,1.59
Fleming County,14515,165092.0,0.03,2.65,0.04,0.0,0.52,0.25,0.78,0.32,2.24
Florence County,142891,1523934.0,0.06,1.29,0.97,0.03,0.48,0.24,0.77,0.47,1.98
Florida Municipio,12140,33913.0,1.63,0.02,0.0,0.0,0.93,0.3,0.31,0.33,1.44
Floyd County,247850,2915952.0,0.17,2.0,0.19,0.02,0.44,0.18,0.75,0.43,2.02
Fluvanna County,26109,272181.0,0.05,1.19,0.22,0.01,0.1,0.08,0.67,0.23,1.16
Foard County,1414,50000.0,1.53,5.39,0.16,0.0,0.4,0.8,1.57,1.61,5.96
Fond du Lac County,102082,1159432.0,0.1,1.77,0.02,0.03,0.18,0.09,0.57,0.33,1.63
Ford County,48128,627480.0,0.74,1.66,0.03,0.02,0.38,0.16,0.7,0.37,1.96
Forest County,16423,289270.0,0.12,3.45,0.27,0.02,0.67,0.29,1.13,0.9,3.35
Forrest County,75835,649550.0,0.08,1.17,0.92,0.02,0.68,0.28,0.72,0.43,1.75
Forsyth County,579662,9170463.0,0.27,1.51,0.45,0.1,0.39,0.16,1.0,0.39,1.92
Fort Bend County,711421,6859842.0,0.28,0.35,0.24,0.18,0.1,0.06,0.49,0.14,0.88
Foster County,3318,59500.0,0.04,2.89,0.01,0.01,0.21,0.03,1.13,0.41,2.44
Fountain County,16620,229717.0,0.08,2.87,0.01,0.0,0.39,0.19,0.8,0.41,2.48
Franklin County,2226454,26601061.0,0.13,1.56,0.36,0.06,0.39,0.15,0.78,0.4,1.75
Franklin Parish,20388,228477.0,0.01,2.1,0.81,0.0,0.77,0.25,0.74,0.43,2.56
Franklin city,8334,83636.0,0.01,0.78,1.54,0.01,0.46,0.39,0.68,0.65,2.02
Frederick County,329889,6646338.0,0.17,1.8,0.16,0.08,0.16,0.11,1.01,0.34,1.78
Fredericksburg city,28135,346943.0,0.21,1.34,0.42,0.05,0.48,0.13,0.92,0.55,1.43
Freeborn County,30619,529117.0,0.3,2.83,0.05,0.05,0.38,0.13,0.9,0.63,2.66
Freestone County,19646,310649.0,0.61,2.25,0.64,0.02,0.63,0.13,0.93,0.89,2.89
Fremont County,106829,1396532.0,0.27,2.2,0.09,0.01,0.34,0.15,0.82,0.54,1.98
Fresno County,971616,10349292.0,1.05,0.64,0.1,0.2,0.52,0.22,0.57,0.41,1.57
Frio County,19110,110111.0,1.22,0.26,0.06,0.01,0.33,0.14,0.3,0.35,1.33
Frontier County,2624,52090.0,0.05,3.67,0.0,0.0,0.42,0.12,1.35,0.61,2.92
Fulton County,1195682,15893126.0,0.13,1.03,0.81,0.09,0.4,0.18,0.89,0.36,1.5
Furnas County,4814,43400.0,0.08,1.96,0.01,0.0,0.28,0.05,0.77,0.36,1.56
Gadsden County,46113,368522.0,0.19,0.66,1.06,0.01,0.48,0.17,0.6,0.42,1.64
Gage County,21632,371884.0,0.08,3.06,0.02,0.02,0.31,0.1,1.08,0.51,2.56
Gaines County,19889,169016.0,0.73,0.73,0.04,0.01,0.17,0.08,0.42,0.18,1.13
Galax city,6788,59344.0,0.43,2.21,0.25,0.0,0.65,0.18,0.7,0.6,2.55
Gallatin County,114611,1521203.0,0.07,2.1,0.01,0.03,0.33,0.11,0.88,0.42,1.62
Gallia County,30203,295345.0,0.04,2.16,0.06,0.01,0.49,0.14,0.63,0.44,1.97
Galveston County,321184,4058632.0,0.51,1.12,0.33,0.05,0.35,0.17,0.75,0.44,1.6
Garden County,1913,48125.0,0.2,4.92,0.01,0.05,0.61,0.07,2.23,0.71,3.75
Garfield County,130656,1631122.0,0.34,1.65,0.03,0.02,0.24,0.11,0.67,0.41,1.66
Garland County,97994,782914.0,0.12,1.61,0.22,0.01,0.46,0.21,0.61,0.49,1.58
Garrard County,17226,188653.0,0.04,2.2,0.03,0.0,0.46,0.21,0.67,0.43,1.86
Garrett County,29516,344573.0,0.03,2.29,0.01,0.01,0.27,0.12,0.78,0.42,1.9
Garvin County,27751,400471.0,0.24,2.5,0.07,0.02,0.55,0.11,0.94,0.46,2.96
Garza County,6739,53832.0,0.8,0.6,0.07,0.01,0.2,0.03,0.45,0.33,1.06
Gasconade County,14769,250905.0,0.05,3.25,0.02,0.01,0.39,0.11,0.93,0.57,2.75
Gaston County,214049,3120121.0,0.2,2.24,0.47,0.04,0.52,0.26,0.88,0.54,2.59
Gates County,11601,164124.0,0.02,1.62,0.85,0.01,0.33,0.23,0.77,0.42,2.19
Geary County,35796,367059.0,0.37,1.21,0.4,0.06,0.41,0.19,0.67,0.53,1.84
Geauga County,93895,1607134.0,0.03,2.14,0.03,0.01,0.16,0.08,0.85,0.34,1.7
Gem County,16850,131745.0,0.13,1.59,0.0,0.01,0.38,0.12,0.5,0.38,1.38
Genesee County,469418,6618273.0,0.1,2.17,0.68,0.02,0.68,0.39,0.84,0.69,2.55
Geneva County,26572,252491.0,0.09,1.91,0.2,0.01,0.47,0.19,0.5,0.38,1.89
Gentry County,6688,87051.0,0.01,2.88,0.03,0.01,0.54,0.12,0.95,0.58,2.31
George County,23545,237380.0,0.07,1.83,0.18,0.02,0.35,0.17,0.62,0.3,1.7
Georgetown County,61065,670228.0,0.06,1.43,0.74,0.01,0.42,0.21,0.69,0.49,1.93
Gibson County,82818,918036.0,0.05,2.16,0.26,0.01,0.34,0.13,0.67,0.42,2.24
Gila County,53145,633525.0,0.62,1.92,0.01,0.02,0.64,0.36,0.86,0.73,2.3
Gilchrist County,17191,232552.0,0.18,2.51,0.18,0.0,0.53,0.2,0.75,0.61,2.22
Giles County,45891,548046.0,0.04,2.33,0.18,0.01,0.38,0.14,0.68,0.49,2.19
Gillespie County,25939,280909.0,0.43,1.46,0.0,0.0,0.24,0.1,0.65,0.4,1.43
Gilliam County,1910,39831.0,0.42,4.5,0.0,0.0,0.52,0.39,1.62,0.79,4.07
Gilmer County,37919,305130.0,0.15,1.57,0.06,0.01,0.39,0.16,0.54,0.38,1.4
Gilpin County,5793,72544.0,0.16,1.49,0.01,0.01,0.1,0.06,0.77,0.4,1.29
Glacier County,13677,95636.0,0.3,1.24,0.01,0.01,1.18,0.19,0.87,0.64,1.71
Glades County,13197,115563.0,0.38,1.49,0.25,0.01,0.37,0.23,0.7,0.43,1.78
Gladwin County,25324,372478.0,0.05,3.42,0.01,0.01,0.69,0.27,0.88,0.61,2.91
Glascock County,3027,45273.0,0.05,2.89,0.29,0.0,0.38,0.11,1.07,0.36,2.83
Glasscock County,1420,64886.0,2.86,4.18,0.0,0.0,0.82,0.0,3.19,0.68,5.47
Glenn County,27935,284691.0,0.78,1.22,0.02,0.04,0.4,0.19,0.59,0.38,1.64
Gloucester County,328407,5574309.0,0.12,1.74,0.2,0.05,0.19,0.15,0.84,0.34,1.84
Glynn County,83467,746189.0,0.12,1.13,0.48,0.02,0.35,0.13,0.6,0.42,1.48
Gogebic County,15577,271184.0,0.05,4.05,0.18,0.01,0.87,0.28,1.26,1.15,3.62
Golden Valley County,2639,87872.0,0.39,6.81,0.0,0.0,1.05,0.2,2.63,1.44,4.79
Goliad County,7510,113687.0,0.97,1.55,0.14,0.01,0.42,0.17,0.81,0.34,2.01
Gonzales County,20558,294627.0,1.47,1.23,0.19,0.0,0.5,0.15,0.57,0.51,2.26
Goochland County,22148,436951.0,0.05,1.62,0.51,0.02,0.11,0.06,0.96,0.37,1.86
Goodhue County,46138,645776.0,0.06,2.02,0.02,0.01,0.22,0.09,0.77,0.38,1.75
Gooding County,15110,85445.0,0.38,0.9,0.0,0.01,0.21,0.07,0.37,0.24,1.08
Gordon County,56424,384660.0,0.24,1.25,0.06,0.02,0.3,0.1,0.37,0.23,1.26
Goshen County,13479,200966.0,0.3,2.57,0.0,0.01,0.38,0.17,1.01,0.6,2.31
Gosper County,2019,61769.0,0.1,4.76,0.0,0.03,0.28,0.23,1.52,0.81,4.1
Gove County,2632,101403.0,0.19,7.23,0.01,0.05,0.7,0.09,2.99,1.01,5.09
Grady County,79399,764552.0,0.14,1.5,0.23,0.01,0.36,0.12,0.59,0.31,1.69
Grafton County,89280,1257599.0,0.04,1.97,0.02,0.06,0.22,0.09,0.87,0.41,1.6
Graham County,48868,623765.0,0.61,1.87,0.05,0.02,0.55,0.27,0.83,0.67,2.22
Grainger County,22942,200572.0,0.06,2.08,0.01,0.0,0.41,0.14,0.53,0.34,1.71
Grand County,24337,286001.0,0.2,1.78,0.01,0.02,0.28,0.11,0.58,0.54,1.39
Grand Forks County,70130,999595.0,0.1,2.22,0.08,0.05,0.43,0.09,0.9,0.5,2.09
Grand Isle County,6950,133138.0,0.05,2.69,0.01,0.01,0.22,0.15,1.06,0.45,2.19
Grand Traverse County,91222,971271.0,0.04,1.63,0.02,0.01,0.16,0.09,0.67,0.31,1.39
Granite County,3206,49063.0,0.07,2.95,0.0,0.0,0.31,0.22,1.07,0.77,2.03
Grant County,331216,3608240.0,0.36,1.79,0.05,0.01,0.37,0.14,0.66,0.4,1.79
Grant Parish,22305,200209.0,0.07,1.76,0.36,0.0,0.47,0.18,0.6,0.47,1.81
Granville County,58503,610692.0,0.18,1.21,0.75,0.01,0.33,0.15,0.61,0.41,1.72
Gratiot County,41319,394091.0,0.14,2.08,0.15,0.01,0.44,0.16,0.64,0.45,1.77
Graves County,37259,391750.0,0.14,2.12,0.1,0.01,0.44,0.19,0.68,0.5,2.1
Gray County,28966,457544.0,0.93,1.98,0.11,0.01,0.47,0.14,0.75,0.56,2.6
Grays Harbor County,71454,736661.0,0.22,1.72,0.02,0.03,0.39,0.24,0.64,0.52,1.73
Grayson County,167983,1750684.0,0.21,1.84,0.11,0.02,0.4,0.17,0.64,0.41,1.77
Greeley County,3646,94263.0,0.66,4.69,0.04,0.02,0.58,0.08,1.97,0.78,3.92
Green County,47913,622341.0,0.06,2.37,0.03,0.01,0.31,0.09,0.71,0.39,2.01
Green Lake County,18745,301957.0,0.14,2.98,0.02,0.01,0.36,0.11,0.88,0.46,2.6
Greenbrier County,35523,281242.0,0.03,1.84,0.05,0.0,0.36,0.14,0.63,0.44,1.58
Greene County,783556,9008270.0,0.08,1.99,0.17,0.03,0.41,0.15,0.78,0.43,1.91
Greenlee County,9368,161459.0,1.48,1.55,0.06,0.01,0.4,0.27,0.79,0.56,2.72
Greensville County,11606,84394.0,0.11,0.94,1.49,0.0,0.29,0.1,0.34,0.44,1.44
Greenup County,36012,421950.0,0.03,2.41,0.02,0.01,0.42,0.23,0.89,0.4,2.15
Greenville County,490332,5968639.0,0.21,1.5,0.47,0.04,0.36,0.14,0.8,0.4,1.86
Greenwood County,76208,728976.0,0.11,1.53,0.52,0.02,0.45,0.19,0.65,0.41,1.86
Greer County,6018,75108.0,0.35,2.51,0.28,0.0,0.61,0.22,1.05,0.76,2.79
Gregg County,123402,1137529.0,0.39,1.15,0.43,0.03,0.37,0.1,0.5,0.4,1.65
Gregory County,4209,84967.0,0.07,4.21,0.0,0.03,0.72,0.04,1.67,0.83,3.61
Grenada County,21379,172673.0,0.01,1.16,1.14,0.0,0.6,0.23,0.73,0.42,2.0
Griggs County,2276,50272.0,0.01,4.23,0.06,0.0,0.35,0.13,1.56,0.54,3.26
Grimes County,27358,287326.0,0.49,1.31,0.34,0.0,0.5,0.1,0.57,0.34,1.76
Grundy County,86157,1267420.0,0.12,2.31,0.02,0.01,0.35,0.15,0.76,0.42,2.15
Guadalupe County,155315,1973575.0,0.76,0.97,0.13,0.03,0.21,0.08,0.63,0.32,1.63
Guayama Municipio,42623,133443.0,2.09,0.02,0.0,0.0,1.21,0.19,0.62,0.53,1.79
Guayanilla Municipio,19578,76389.0,2.54,0.01,0.0,0.0,1.43,0.63,0.81,0.53,2.26
Guaynabo Municipio,90773,840024.0,2.5,0.03,0.0,0.0,0.73,0.27,1.11,0.4,2.1
Guernsey County,39414,426385.0,0.03,2.4,0.03,0.01,0.54,0.23,0.68,0.46,2.19
Guilford County,517197,6241282.0,0.18,1.17,0.76,0.11,0.41,0.16,0.83,0.4,1.84
Gulf County,16018,135452.0,0.08,1.41,0.31,0.01,0.27,0.09,0.56,0.51,1.35
Gunnison County,16215,233777.0,0.18,2.14,0.02,0.02,0.34,0.15,0.84,0.52,1.49
Gurabo Municipio,47074,247598.0,1.67,0.02,0.0,0.0,0.63,0.31,0.59,0.33,1.33
Guthrie County,10664,170770.0,0.07,2.69,0.01,0.01,0.28,0.1,0.97,0.43,2.19
Guánica Municipio,17327,91226.0,4.02,0.02,0.0,0.0,2.61,1.23,1.35,1.18,3.53
Gwinnett County,889954,7502326.0,0.29,0.47,0.33,0.15,0.17,0.07,0.46,0.21,1.0
Haakon County,2084,38873.0,0.02,4.26,0.0,0.0,0.83,0.11,1.79,0.63,3.24
Habersham County,43878,357354.0,0.22,1.45,0.05,0.04,0.29,0.09,0.51,0.3,1.51
Haines Borough,2537,70640.0,0.11,3.11,0.0,0.15,0.33,0.11,1.44,0.71,2.23
Hale County,49522,646227.0,1.09,1.11,0.78,0.01,0.65,0.24,0.8,0.58,2.59
Halifax County,87330,759718.0,0.06,1.15,1.1,0.02,0.56,0.18,0.63,0.5,1.99
Hall County,257200,2903748.0,0.51,1.29,0.11,0.03,0.3,0.1,0.57,0.3,1.61
Hamblen County,63465,497581.0,0.23,1.54,0.07,0.02,0.4,0.15,0.49,0.32,1.59
Hamilton County,1535313,20943819.0,0.09,1.6,0.55,0.05,0.42,0.17,0.93,0.43,1.85
Hamlin County,5911,123521.0,0.13,3.19,0.01,0.01,0.19,0.06,1.08,0.44,2.44
Hampden County,469188,5455869.0,0.6,1.33,0.17,0.05,0.42,0.2,0.71,0.51,1.75
Hampshire County,184609,2540188.0,0.11,1.91,0.06,0.1,0.32,0.14,0.97,0.42,1.55
Hampton County,20066,171798.0,0.09,1.05,1.31,0.01,0.47,0.22,0.59,0.52,2.03
Hampton city,136255,1723849.0,0.12,0.95,1.21,0.06,0.42,0.21,0.79,0.47,1.97
Hancock County,332157,3811008.0,0.05,2.0,0.08,0.02,0.28,0.12,0.69,0.4,1.81
Hand County,3303,101158.0,0.05,5.93,0.0,0.01,0.5,0.09,2.52,0.78,4.48
Hanover County,103218,1966793.0,0.06,1.88,0.21,0.03,0.14,0.08,0.99,0.32,1.87
Hansford County,5532,79783.0,1.66,1.94,0.0,0.0,0.59,0.14,1.2,0.41,3.08
Hanson County,3404,62448.0,0.0,2.76,0.14,0.0,0.19,0.01,1.05,0.43,2.35
Haralson County,28722,221816.0,0.02,1.6,0.06,0.01,0.32,0.13,0.45,0.28,1.46
Hardee County,27326,255149.0,0.87,1.17,0.13,0.01,0.52,0.19,0.48,0.43,1.72
Hardeman County,29774,260217.0,0.1,1.36,0.83,0.02,0.47,0.34,0.63,0.49,1.97
Hardin County,242481,2702587.0,0.11,1.85,0.17,0.03,0.33,0.15,0.7,0.4,1.83
Harding County,1827,91068.0,2.15,8.54,0.07,0.04,1.79,0.44,4.42,1.35,5.57
Hardy County,13812,133478.0,0.09,1.98,0.08,0.03,0.32,0.11,0.45,0.5,1.74
Harford County,250132,4952779.0,0.09,1.78,0.27,0.06,0.17,0.12,0.98,0.34,1.9
Harlan County,31017,337944.0,0.04,3.68,0.08,0.03,1.22,0.33,1.11,0.77,3.24
Harmon County,2758,38264.0,1.01,2.14,0.27,0.04,0.58,0.22,1.29,0.58,3.08
Harnett County,128753,1331144.0,0.27,1.31,0.42,0.02,0.39,0.2,0.7,0.37,1.79
Harney County,7195,85654.0,0.17,2.38,0.03,0.02,0.45,0.31,1.12,0.49,1.92
Harper County,9589,247258.0,0.64,4.42,0.01,0.0,0.79,0.2,1.5,0.85,4.3
Harris County,4558717,49693738.0,0.73,0.54,0.32,0.11,0.31,0.12,0.59,0.31,1.36
Harrison County,431823,4920134.0,0.13,1.84,0.36,0.04,0.45,0.19,0.7,0.5,1.99
Harrisonburg city,53064,575054.0,0.38,1.41,0.13,0.08,0.52,0.12,0.71,0.52,1.4
Hart County,44066,399536.0,0.06,1.93,0.23,0.01,0.47,0.13,0.57,0.33,1.83
Hartford County,897417,16296757.0,0.47,1.47,0.36,0.12,0.33,0.2,1.02,0.45,1.96
Hartley County,5821,64427.0,0.45,1.02,0.14,0.02,0.14,0.02,0.65,0.24,1.44
Harvey County,34683,323411.0,0.21,1.43,0.03,0.01,0.19,0.05,0.66,0.29,1.38
Haskell County,22633,291127.0,0.43,2.15,0.04,0.02,0.56,0.25,0.84,0.55,2.44
Hatillo Municipio,40978,103988.0,1.46,0.0,0.0,0.0,0.66,0.14,0.54,0.24,1.36
Hawaii County,196325,1805534.0,0.21,0.49,0.01,0.39,0.31,0.12,0.54,0.4,1.22
Hawkins County,56402,498365.0,0.03,2.2,0.03,0.01,0.45,0.17,0.55,0.44,2.05
Hayes County,957,44946.0,0.62,9.8,0.0,0.0,0.94,0.17,4.47,1.43,7.92
Hays County,194843,1651961.0,0.44,0.76,0.04,0.02,0.23,0.07,0.48,0.25,0.99
Haywood County,77798,920646.0,0.11,2.14,0.4,0.02,0.46,0.15,0.8,0.55,2.31
Heard County,11607,126354.0,0.02,2.19,0.25,0.02,0.43,0.23,0.62,0.46,2.23
Hemphill County,4152,68679.0,0.85,1.49,0.02,0.01,0.21,0.17,0.75,0.37,1.84
Hempstead County,22154,198116.0,0.25,1.27,0.68,0.0,0.56,0.15,0.62,0.41,1.84
Henderson County,272911,2902750.0,0.18,1.92,0.14,0.02,0.4,0.13,0.7,0.42,1.9
Hendricks County,158170,1532159.0,0.05,1.17,0.06,0.03,0.08,0.06,0.52,0.19,1.16
Hendry County,39064,225721.0,0.8,0.52,0.15,0.01,0.4,0.13,0.31,0.21,0.98
Hennepin County,1224763,22108060.0,0.18,1.67,0.32,0.16,0.3,0.12,1.15,0.39,1.76
Henrico County,324073,4475594.0,0.11,1.08,0.55,0.13,0.21,0.12,0.83,0.31,1.6
Henry County,501972,5247147.0,0.1,1.56,0.34,0.02,0.31,0.15,0.6,0.35,1.73
Herkimer County,62943,941968.0,0.06,2.86,0.03,0.01,0.46,0.25,0.93,0.62,2.43
Hernando County,179144,1949044.0,0.27,1.99,0.12,0.03,0.36,0.23,0.73,0.5,2.01
Hertford County,24262,180423.0,0.07,0.73,1.15,0.01,0.46,0.2,0.61,0.45,1.78
Hettinger County,2601,112652.0,0.28,7.01,0.05,0.0,0.72,0.17,2.78,0.88,6.02
Hickman County,29127,266814.0,0.05,2.11,0.19,0.0,0.45,0.16,0.6,0.46,1.9
Hickory County,9352,103430.0,0.05,3.05,0.0,0.0,0.7,0.3,0.83,0.6,2.57
Hidalgo County,843985,4222955.0,1.23,0.1,0.01,0.01,0.43,0.11,0.35,0.33,1.08
Highland County,45244,421096.0,0.02,2.12,0.03,0.01,0.46,0.16,0.61,0.34,1.77
Highlands County,100177,877691.0,0.41,1.76,0.25,0.03,0.43,0.31,0.71,0.52,2.03
Hill County,51566,775120.0,0.52,2.27,0.16,0.01,0.63,0.24,0.95,0.66,2.59
Hillsborough County,1757458,24171563.0,0.51,1.33,0.3,0.08,0.35,0.15,0.85,0.41,1.8
Hillsdale County,45909,549711.0,0.05,2.49,0.02,0.01,0.45,0.17,0.71,0.43,2.1
Hinds County,243249,2553212.0,0.04,0.57,1.98,0.02,0.74,0.3,0.76,0.65,2.19
Hinsdale County,820,53056.0,0.73,11.09,0.0,0.0,1.46,0.5,5.44,2.32,8.22
Hitchcock County,2860,41582.0,0.03,3.46,0.0,0.0,0.5,0.11,0.92,0.68,2.76
Hocking County,28547,336442.0,0.02,2.37,0.02,0.0,0.35,0.18,0.72,0.46,2.09
Hockley County,23273,344971.0,1.37,1.5,0.09,0.01,0.43,0.22,0.83,0.49,2.35
Hodgeman County,1875,55345.0,0.41,4.69,0.0,0.16,0.45,0.15,2.27,0.72,4.31
Hoke County,52571,340704.0,0.18,0.57,0.49,0.02,0.36,0.21,0.4,0.32,1.29
Holmes County,81558,719730.0,0.02,1.49,0.54,0.0,0.54,0.2,0.49,0.35,1.43
Holt County,14792,344943.0,0.1,4.53,0.01,0.02,0.5,0.12,1.7,0.75,3.62
Honolulu County,990060,19549043.0,0.22,0.52,0.05,0.96,0.22,0.11,0.89,0.49,1.49
Hood County,55418,582626.0,0.21,1.54,0.01,0.01,0.23,0.06,0.59,0.28,1.58
Hood River County,22938,232038.0,0.54,1.12,0.0,0.03,0.21,0.09,0.61,0.26,1.18
Hooker County,684,41607.0,0.42,14.06,0.13,0.0,2.54,0.15,5.67,3.36,9.59
Hoonah-Angoon Census Area,2146,101100.0,0.26,2.6,0.13,0.13,0.82,1.13,3.34,2.51,4.18
Hopewell city,22353,236622.0,0.2,1.24,1.14,0.04,0.64,0.28,0.61,0.6,2.2
Hopkins County,81914,975221.0,0.2,2.1,0.18,0.02,0.47,0.15,0.7,0.51,2.22
Hormigueros Municipio,16474,80013.0,2.42,0.01,0.0,0.0,0.99,0.6,0.59,0.46,1.97
Horry County,310186,3295813.0,0.13,1.79,0.3,0.02,0.37,0.15,0.62,0.58,1.91
Hot Spring County,33480,281344.0,0.08,1.66,0.29,0.0,0.34,0.13,0.62,0.42,1.75
Hot Springs County,4741,97448.0,0.09,3.98,0.0,0.0,0.53,0.18,1.66,0.8,2.95
Houghton County,36333,431437.0,0.04,2.58,0.01,0.05,0.57,0.2,1.01,0.64,2.03
Houston County,304195,2767194.0,0.09,1.25,0.55,0.02,0.39,0.16,0.58,0.39,1.68
Howard County,470765,8899929.0,0.18,1.31,0.27,0.21,0.2,0.1,0.97,0.3,1.66
Howell County,40139,288356.0,0.04,1.88,0.01,0.01,0.45,0.1,0.59,0.4,1.65
Hubbard County,20743,371611.0,0.07,3.17,0.02,0.01,0.34,0.13,1.11,0.69,2.66
Hudson County,679756,11293059.0,1.01,0.73,0.26,0.36,0.42,0.17,0.94,0.45,0.91
Hudspeth County,3702,26346.0,2.12,0.5,0.04,0.03,0.96,0.15,0.48,1.04,2.13
Huerfano County,6498,72132.0,1.08,1.96,0.01,0.0,0.46,0.25,0.97,0.73,2.33
Hughes County,31091,427538.0,0.12,2.1,0.09,0.0,0.47,0.17,1.0,0.52,2.29
Humacao Municipio,54736,252572.0,2.16,0.02,0.0,0.0,1.01,0.29,0.62,0.5,1.96
Humboldt County,162164,1829102.0,0.26,1.79,0.02,0.05,0.44,0.19,0.77,0.5,1.7
Humphreys County,26959,296133.0,0.07,1.99,0.88,0.01,0.79,0.35,0.78,0.48,2.45
Hunt County,90322,974535.0,0.33,1.5,0.18,0.03,0.42,0.15,0.64,0.38,1.7
Hunterdon County,125717,2899460.0,0.13,1.8,0.04,0.08,0.1,0.09,1.05,0.27,1.66
Huntingdon County,45686,578486.0,0.03,2.45,0.09,0.01,0.34,0.17,0.72,0.54,2.03
Huntington County,36520,454793.0,0.06,2.34,0.02,0.02,0.3,0.1,0.66,0.42,2.11
