County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Clare County,30597,408486.0,0.06,3.43,0.02,0.01,0.86,0.42,0.86,0.81,2.86
Clarendon County,34156,408194.0,0.1,1.7,1.66,0.02,0.73,0.38,0.93,0.53,2.63
Clarion County,38747,439980.0,0.02,2.49,0.02,0.01,0.43,0.18,0.79,0.58,2.16
Clark County,2942605,40414717.0,0.56,1.32,0.21,0.16,0.34,0.19,0.67,0.61,1.84
Clarke County,187866,1900420.0,0.18,1.58,0.72,0.08,0.8,0.23,0.92,0.51,2.0
Clatsop County,38021,577481.0,0.23,2.5,0.02,0.03,0.36,0.18,0.89,0.65,2.12
Clay County,696112,7699074.0,0.11,1.68,0.14,0.03,0.3,0.12,0.64,0.36,1.66
Clayton County,291861,2476068.0,0.25,0.39,1.12,0.09,0.4,0.18,0.42,0.4,1.44
Clear Creek County,9257,188243.0,0.25,2.82,0.04,0.02,0.3,0.15,1.04,0.7,2.21
Clearfield County,80539,895760.0,0.06,2.35,0.04,0.01,0.38,0.2,0.66,0.49,2.06
Clearwater County,17357,218748.0,0.07,2.53,0.01,0.01,0.48,0.2,0.84,0.53,2.17
Cleburne County,40300,443100.0,0.06,2.57,0.04,0.02,0.46,0.17,0.71,0.46,2.21
Clermont County,202166,2671417.0,0.04,1.81,0.03,0.02,0.19,0.09,0.69,0.31,1.65
Cleveland County,379394,4706673.0,0.16,1.66,0.2,0.07,0.38,0.16,0.84,0.4,1.88
Clinch County,6788,42313.0,0.1,1.66,1.12,0.01,1.28,0.26,0.8,0.66,2.69
Clinton County,388120,5103566.0,0.1,2.2,0.05,0.03,0.34,0.13,0.74,0.44,1.97
Cloud County,9191,181628.0,0.13,4.08,0.02,0.01,0.51,0.21,1.39,0.75,3.5
Coahoma County,24296,230289.0,0.0,0.66,2.18,0.02,1.0,0.51,0.83,0.69,2.27
Coal County,5666,82333.0,0.16,2.47,0.0,0.01,0.72,0.24,1.17,0.59,2.79
