,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,Unemployment,Professional,Service,Drive,1,2,3,4,5,6,7,8,9,10
44094,7031,3.9,91.8,1.2,0.0,52413.0,14.3,6.2,31.4,20.3,87.7,0,1,1,1,1,1,2,4,4,4
44095,3427,1.2,96.8,1.6,0.5,62765.0,9.5,2.5,39.1,19.9,88.2,0,1,1,1,1,1,2,4,4,4
44096,3081,2.1,90.1,1.9,0.0,52237.0,14.2,5.4,28.3,21.4,89.6,0,1,1,1,1,1,2,4,4,4
44097,5865,2.2,95.1,0.9,0.5,51372.0,4.7,10.3,33.1,24.4,87.4,0,1,1,1,1,1,2,4,4,4
44098,6474,1.3,94.8,1.9,0.4,72612.0,2.9,5.9,38.8,17.6,89.8,0,1,1,1,1,1,1,1,1,1
44099,8312,1.3,97.2,0.3,0.7,87738.0,3.1,4.9,40.0,18.7,93.4,0,1,1,1,1,1,1,1,1,1
44100,6195,2.6,96.5,0.6,0.3,61759.0,6.0,4.3,30.8,17.7,91.1,0,1,1,1,1,1,1,4,4,4
44101,5161,1.1,96.4,1.7,0.4,88494.0,4.3,1.9,45.4,13.2,91.0,0,1,1,1,1,1,1,1,1,1
44102,3568,1.1,96.4,1.2,0.0,81389.0,3.0,1.0,41.0,18.9,91.4,0,1,1,1,1,1,1,1,1,4
44103,6402,0.4,96.5,0.3,1.2,74627.0,6.9,3.0,54.2,10.1,84.4,0,1,1,1,1,1,1,1,1,1
44104,7145,2.3,95.1,1.0,1.0,89761.0,2.4,1.9,41.3,15.9,91.0,0,1,1,1,1,1,1,1,1,1
44105,7064,1.4,94.3,0.2,3.0,132019.0,1.2,3.8,55.6,11.7,88.6,0,1,1,1,1,5,1,1,1,1
44106,2799,4.0,94.1,0.3,1.3,88676.0,1.6,2.9,57.8,10.4,86.9,0,1,1,1,1,5,1,1,1,1
44107,6367,3.1,94.8,0.4,1.6,66950.0,9.7,3.5,41.7,15.1,86.0,0,1,1,1,1,1,1,1,1,1
44108,6170,3.3,92.4,1.2,2.4,84894.0,4.5,2.0,53.1,17.7,91.5,0,1,1,1,1,1,1,1,1,1
44109,7901,1.8,96.3,0.3,0.7,86630.0,8.9,5.2,42.6,14.5,85.3,0,1,1,1,1,1,1,1,1,1
44110,2208,0.8,95.4,1.5,0.0,75854.0,8.4,4.1,56.7,13.2,81.9,0,1,1,1,1,1,1,1,1,4
44111,3748,1.1,97.4,0.8,0.6,69500.0,3.0,3.3,56.2,11.9,86.0,0,1,1,1,1,1,1,1,1,1
44112,6269,0.2,99.2,0.0,0.3,85625.0,3.8,3.1,48.9,17.4,90.8,0,1,1,1,1,1,1,1,1,1
44113,5466,0.0,100.0,0.0,0.0,66800.0,4.7,1.3,40.3,19.4,86.9,0,1,1,1,1,1,1,1,1,1
44114,4255,1.8,97.7,0.2,0.2,57321.0,5.6,4.8,38.8,12.3,89.2,0,1,1,1,1,1,1,4,4,4
44115,7406,0.4,98.8,0.0,0.5,102378.0,1.7,2.9,47.3,9.1,92.6,0,1,1,1,1,5,1,1,1,1
44116,5472,2.6,93.3,3.6,0.0,76385.0,4.1,3.1,44.2,14.8,90.8,0,1,1,1,1,1,1,1,1,1
44117,5753,0.7,94.9,3.3,1.1,91932.0,3.2,1.6,48.0,13.2,87.6,0,1,1,1,1,1,1,1,1,1
44118,3838,2.2,96.0,1.8,0.0,82100.0,2.8,5.6,45.2,18.9,91.3,0,1,1,1,1,1,1,1,1,1
44119,6147,0.4,96.2,0.8,0.9,56625.0,4.9,3.7,31.7,20.2,85.4,0,1,1,1,1,1,1,4,4,4
44120,4060,5.6,91.7,0.0,1.3,44398.0,16.5,7.6,29.5,22.3,92.7,0,1,1,1,1,1,2,4,4,4
44121,3673,4.0,93.1,0.7,0.4,64771.0,5.9,5.0,29.2,17.3,94.6,0,1,1,1,1,1,2,4,4,4
44122,2338,5.7,94.0,0.0,0.0,45375.0,16.2,8.0,22.7,32.9,84.4,0,1,1,1,1,1,2,4,4,4
44123,5362,0.7,92.4,1.8,2.9,80610.0,4.3,3.4,50.8,16.9,88.7,0,1,1,1,1,1,1,1,1,1
44124,4243,1.7,90.3,0.4,7.6,122833.0,1.9,3.5,56.5,11.0,87.2,0,1,1,1,1,5,1,1,1,1
44125,8221,3.6,88.9,0.0,6.4,111483.0,3.2,1.3,54.2,9.2,86.0,0,1,1,1,1,5,1,1,1,1
44126,5495,1.2,95.7,0.6,1.9,96503.0,3.6,2.2,45.8,14.0,87.5,0,1,1,1,1,1,1,1,1,1
44127,8633,1.1,92.1,0.4,3.2,88151.0,5.4,5.5,54.8,12.5,85.1,0,1,1,1,1,5,1,1,1,1
44128,2445,1.6,93.2,0.0,1.9,50852.0,5.6,1.0,28.1,19.4,80.1,0,1,1,1,1,1,2,4,4,4
44129,6277,0.4,97.7,1.4,0.2,66148.0,3.4,1.9,33.1,16.9,79.9,0,1,1,1,1,1,1,1,1,1
44130,2587,0.2,96.3,0.9,0.0,53558.0,9.4,2.5,31.9,20.3,82.5,0,1,1,1,1,1,2,4,4,4
44131,5519,1.4,93.4,2.8,0.0,77708.0,3.4,5.0,35.6,16.8,94.3,0,1,1,1,1,1,1,1,1,1
44133,5389,2.1,96.8,0.2,0.0,80057.0,3.9,2.7,32.8,12.1,87.9,0,1,1,1,1,1,1,1,1,1
44134,3032,0.9,93.4,0.0,4.4,72150.0,6.3,4.5,42.0,17.9,89.6,0,1,1,1,1,1,1,4,4,4
44135,3382,0.9,97.3,0.0,0.0,59271.0,8.7,4.7,27.7,15.2,77.9,0,1,1,1,1,1,2,4,4,4
44136,3310,3.3,96.2,0.0,0.5,67052.0,5.6,5.0,39.2,17.2,86.1,0,1,1,1,1,1,2,4,4,4
44137,2792,2.5,97.3,0.0,0.0,67313.0,7.6,2.9,32.1,13.7,84.7,0,1,1,1,1,1,2,4,4,4
44138,3337,2.4,96.6,0.0,0.0,73954.0,6.1,1.9,36.7,18.7,92.6,0,1,1,1,1,1,1,4,4,4
44139,4731,0.0,99.9,0.0,0.0,59873.0,1.7,6.5,44.9,15.0,84.3,0,1,1,1,1,1,1,1,1,4
44140,4894,2.2,97.2,0.1,0.2,74531.0,4.9,2.5,34.7,16.0,88.7,0,1,1,1,1,1,1,1,1,4
44141,2798,1.1,98.9,0.0,0.0,60925.0,3.9,7.4,38.9,10.9,89.3,0,1,1,1,1,1,2,4,4,4
44142,2576,0.0,98.8,1.2,0.0,58859.0,11.1,6.7,24.3,25.8,89.2,0,1,1,1,1,1,2,4,4,4
44143,5039,3.0,95.8,0.0,0.0,64638.0,11.7,2.5,29.9,23.4,91.6,0,1,1,1,1,1,2,4,4,4
44144,2002,5.7,84.9,2.0,0.2,56411.0,10.7,6.2,24.6,16.3,86.3,0,1,1,1,1,1,2,4,4,4
44145,2725,2.8,93.4,0.1,0.9,61071.0,11.1,10.5,34.7,12.6,86.0,0,1,1,1,1,1,2,4,4,4
44146,3942,2.4,94.1,0.4,0.9,59360.0,10.4,5.9,28.9,22.5,84.4,0,1,1,1,1,1,2,4,4,4
44147,2117,1.5,91.7,0.6,0.0,49583.0,10.3,13.1,30.1,20.0,86.9,0,1,1,1,1,1,2,4,4,4
44148,3520,1.3,95.5,0.7,0.6,61854.0,5.2,5.1,28.8,14.1,82.2,0,1,1,1,1,1,2,4,4,4
44149,4217,0.0,98.5,0.3,0.0,55820.0,5.9,2.9,28.6,20.5,88.0,0,1,1,1,1,1,2,4,4,4
44150,4333,2.3,93.2,1.4,0.6,53250.0,11.1,5.1,35.4,21.5,83.7,0,1,1,1,1,1,2,4,4,4
44152,2076,9.1,76.9,7.7,0.0,40774.0,14.3,4.8,23.5,23.4,72.5,0,1,1,1,1,1,2,4,4,4
44153,2282,25.1,71.8,1.8,0.0,26849.0,34.7,10.5,21.7,23.1,64.7,0,0,0,3,3,1,2,4,4,6
44154,2882,17.4,29.8,48.3,3.2,25000.0,32.3,14.4,23.1,19.9,59.5,0,0,2,2,3,3,3,5,8,8
44155,1672,11.9,54.2,27.4,4.6,69632.0,31.1,0.6,70.1,10.0,64.7,0,1,1,1,1,5,5,3,3,3
44156,2802,0.7,2.1,91.4,0.0,25684.0,31.0,18.6,18.5,46.0,62.9,0,0,2,2,3,3,3,5,8,8
44157,2179,11.4,82.5,0.8,0.0,39318.0,21.0,8.3,22.4,21.2,77.5,0,1,1,1,1,1,2,4,4,4
44158,3264,5.2,4.7,88.5,0.0,21384.0,43.0,23.1,33.2,28.4,67.1,0,0,2,2,3,3,3,5,8,8
44159,3562,3.9,60.6,26.6,3.1,55039.0,21.6,5.1,40.7,21.7,68.3,0,1,1,1,1,1,2,4,4,4
44160,2928,0.5,2.0,96.3,0.0,27458.0,32.4,20.1,18.4,22.3,69.0,0,0,2,2,3,3,3,5,8,8
44161,5070,25.0,24.1,31.8,12.2,24345.0,55.8,5.7,18.6,35.6,57.3,0,0,0,3,3,3,3,5,8,6
44162,2387,2.6,96.1,0.0,0.0,42813.0,23.1,5.4,26.7,21.9,74.8,0,1,1,1,1,1,2,4,4,4
44163,7184,0.6,98.4,0.4,0.2,73250.0,5.6,6.1,41.2,9.4,86.6,0,1,1,1,1,1,1,1,1,1
44164,4417,15.2,50.7,20.9,2.5,30511.0,42.7,12.5,19.3,32.7,64.9,0,0,2,3,3,3,3,5,8,6
44165,1469,1.1,86.1,0.4,2.9,35625.0,23.1,6.8,26.0,26.0,81.2,0,1,1,1,1,1,2,4,4,6
44166,2400,0.9,97.3,0.3,0.0,59519.0,9.3,4.6,29.0,27.0,87.8,0,1,1,1,1,1,2,4,4,4
44167,1910,1.5,6.9,0.0,2.0,30031.0,33.8,19.4,37.9,17.5,71.8,0,0,2,3,3,3,3,5,8,6
44170,2633,2.1,95.0,0.2,0.0,59667.0,7.7,6.5,37.3,21.4,76.3,0,1,1,1,1,1,2,4,4,4
44171,2709,0.1,98.0,0.2,0.1,58728.0,3.6,3.6,32.9,32.9,82.0,0,1,1,1,1,1,2,4,4,4
44172,2973,2.4,95.8,0.0,0.1,57656.0,8.9,3.9,39.1,25.7,74.7,0,1,1,1,1,1,2,4,4,4
44173,2463,2.4,93.5,1.8,1.4,57784.0,9.6,6.0,44.8,25.5,76.3,0,1,1,1,1,1,2,4,4,4
44174,6021,12.6,71.9,13.9,0.6,62458.0,6.3,7.0,28.5,22.6,80.9,0,1,1,1,1,1,2,4,4,4
44175,1801,1.7,93.6,2.4,0.5,58250.0,7.8,6.3,27.2,17.9,84.4,0,1,1,1,1,1,2,4,4,4
44176,2143,1.8,95.1,0.0,0.5,64219.0,8.4,5.1,37.0,16.3,71.5,0,1,1,1,1,1,2,4,4,4
44177,3600,1.4,94.3,1.3,0.3,51059.0,9.9,7.4,34.4,18.7,76.4,0,1,1,1,1,1,2,4,4,4
44178,4707,2.7,92.7,2.1,0.2,54833.0,10.1,10.7,27.8,27.5,78.8,0,1,1,1,1,1,2,4,4,4
44179,1834,0.1,98.1,0.1,0.6,52878.0,13.2,13.6,29.4,24.6,74.5,0,1,1,1,1,1,2,4,4,4
44180,4929,0.3,97.7,0.7,0.8,48750.0,11.6,5.8,25.7,23.0,86.2,0,1,1,1,1,1,2,4,4,4
44181,1066,0.2,97.2,0.5,0.4,33929.0,7.7,0.7,27.6,32.9,71.3,0,1,1,1,1,1,2,4,4,4
44182,1354,0.9,97.2,0.1,0.1,49145.0,9.3,5.6,29.3,22.4,85.7,0,1,1,1,1,1,2,4,4,4
44183,3292,8.2,5.3,0.1,1.1,40331.0,19.6,30.1,49.5,21.9,69.3,0,0,2,3,3,3,3,5,8,8
44184,4529,1.6,93.9,3.3,0.5,52143.0,17.9,5.8,28.0,23.8,79.5,0,1,1,1,1,1,2,4,4,4
44185,5067,1.8,79.7,1.9,0.2,45231.0,18.1,8.9,24.4,27.3,80.3,0,1,1,1,1,1,2,4,4,4
44186,5499,0.3,97.1,0.2,0.0,48016.0,25.0,8.9,29.3,29.3,82.1,0,1,1,1,1,1,2,4,4,6
44187,5127,0.0,96.9,0.1,0.3,52471.0,20.6,2.7,30.4,27.6,77.3,0,1,1,1,1,1,2,4,4,4
44188,3672,4.1,95.2,0.4,0.0,35015.0,35.1,6.7,33.0,26.2,70.9,0,1,1,1,1,1,2,4,4,6
44189,5727,14.7,42.8,40.5,0.7,55000.0,10.7,7.6,37.1,22.0,71.7,0,1,1,1,2,1,2,4,4,4
44190,1770,1.6,95.2,0.4,0.0,57284.0,14.4,4.7,35.6,30.3,77.9,0,1,1,1,1,1,2,4,4,4
44191,2328,1.6,93.1,1.3,0.4,57011.0,21.8,8.2,28.2,27.5,76.4,0,1,1,1,1,1,2,4,4,4
44192,2574,1.0,92.3,2.4,2.4,64271.0,10.8,4.0,37.8,24.4,71.4,0,1,1,1,1,1,2,4,4,4
44193,3454,1.0,91.6,4.9,0.0,52406.0,19.2,6.5,37.5,23.6,76.8,0,1,1,1,1,1,2,4,4,4
44194,2155,0.5,98.7,0.4,0.0,52798.0,19.7,7.1,37.1,27.0,57.0,0,1,1,1,1,1,2,4,4,4
44195,3686,3.0,92.8,2.4,0.2,53649.0,13.2,4.9,26.3,33.8,80.5,0,1,1,1,1,1,2,4,4,4
44196,2174,2.2,94.6,0.5,1.1,58274.0,7.5,12.5,24.2,36.5,76.9,0,1,1,1,1,1,2,4,4,4
44197,2584,0.4,98.5,0.2,0.0,58452.0,11.3,5.0,32.6,22.6,83.0,0,1,1,1,1,1,2,4,4,4
44198,2805,3.2,95.4,0.1,0.0,51429.0,8.5,4.1,22.3,21.0,84.9,0,1,1,1,1,1,2,4,4,4
44199,3478,0.0,96.5,0.3,0.1,51467.0,9.0,11.6,31.8,18.5,87.3,0,1,1,1,1,1,2,4,4,4
44200,1884,0.0,92.5,0.0,2.8,49167.0,6.5,8.3,37.6,13.9,85.2,0,1,1,1,1,1,2,4,4,4
44201,3854,1.0,97.2,0.8,0.1,45032.0,13.7,3.5,20.6,16.8,82.6,0,1,1,1,1,1,2,4,4,4
44202,7325,2.0,94.6,2.2,0.2,55120.0,13.8,6.5,41.4,21.5,83.2,0,1,1,1,1,1,1,4,4,4
44203,3578,8.3,89.2,0.0,0.2,33118.0,34.4,9.7,13.1,29.1,78.0,0,0,1,1,3,1,2,4,4,6
44204,3097,2.2,94.4,1.7,0.3,37762.0,38.7,20.0,22.2,16.9,68.3,0,0,2,1,3,3,2,5,8,6
44205,3275,2.0,89.7,5.4,1.0,41216.0,18.3,11.4,30.5,17.9,73.3,0,1,1,1,1,1,2,4,4,4
44206,2732,5.1,92.4,0.9,0.2,38940.0,14.3,2.6,26.2,35.8,87.9,0,1,1,1,1,1,2,4,4,4
44207,2370,4.6,90.6,0.4,4.0,28846.0,35.4,11.3,25.3,22.8,81.4,0,1,1,1,3,1,2,4,4,6
44208,3761,8.7,82.0,5.9,1.1,48790.0,8.9,6.2,33.3,19.6,82.5,0,1,1,1,1,1,2,4,4,4
44209,4550,1.7,92.5,3.3,0.8,46334.0,21.0,6.5,34.7,21.8,82.4,0,1,1,1,1,1,2,4,4,4
44210,3496,2.5,92.2,2.4,1.7,59313.0,6.9,4.8,31.1,12.2,85.9,0,1,1,1,1,1,2,4,4,4
44211,5166,1.4,97.4,0.8,0.3,67617.0,7.0,7.5,37.8,19.2,91.6,0,1,1,1,1,1,1,4,4,4
44212,460,1.5,6.5,0.0,5.9,27143.0,27.2,12.4,17.8,17.8,78.1,0,0,2,2,3,3,2,4,4,6
44213,5292,0.8,93.2,0.1,1.4,55511.0,12.2,5.8,27.7,14.4,85.9,0,1,1,1,1,1,2,4,4,4
44214,5315,6.2,90.4,1.1,0.4,60735.0,9.3,4.9,28.7,14.3,82.5,0,1,1,1,1,1,2,4,4,4
44215,6024,1.5,93.6,1.2,1.0,57011.0,12.5,4.9,28.1,14.4,86.8,0,1,1,1,1,1,2,4,4,4
44216,6865,3.3,93.8,0.1,1.6,62633.0,6.2,2.5,35.1,18.0,83.7,0,1,1,1,1,1,1,1,1,1
44217,2793,0.6,94.7,2.1,1.3,47266.0,8.4,3.5,38.5,14.1,85.0,0,1,1,1,1,1,2,4,4,4
44218,2221,10.3,81.0,5.6,0.0,41583.0,21.8,8.4,36.7,22.0,72.6,0,1,1,1,1,1,2,4,4,6
44219,2412,7.8,80.8,10.6,0.0,36563.0,31.3,8.4,28.9,22.5,66.8,0,1,1,1,1,1,2,4,4,6
44220,2821,0.4,88.6,8.0,0.2,45779.0,26.7,4.5,35.5,26.3,71.9,0,1,1,1,1,1,2,4,4,6
44221,2153,5.9,87.6,0.8,2.1,57391.0,11.5,5.0,46.1,20.9,83.8,0,1,1,1,1,1,2,4,4,4
44222,2468,3.4,78.2,9.4,0.3,39648.0,31.2,3.2,22.9,32.0,70.1,0,1,1,1,1,1,2,4,4,6
44223,5031,0.1,95.1,2.7,0.3,56806.0,9.9,2.3,37.6,14.3,91.5,0,1,1,1,1,1,1,4,4,4
44224,4708,3.4,90.6,2.2,0.0,47500.0,10.7,9.4,27.8,24.2,85.2,0,1,1,1,1,1,2,4,4,4
44225,4291,4.4,92.7,1.6,0.0,63750.0,4.3,5.1,29.1,15.0,84.9,0,1,1,1,1,1,2,4,4,4
44226,5683,2.0,97.4,0.2,0.0,64297.0,11.0,6.1,24.1,19.5,87.5,0,1,1,1,1,1,2,4,4,4
44227,3279,2.0,96.6,0.5,0.0,76229.0,7.4,3.9,35.8,14.5,88.4,0,1,1,1,1,1,1,4,4,4
44228,3613,1.5,95.7,0.4,0.4,49750.0,12.8,6.3,34.8,17.6,82.1,0,1,1,1,1,1,2,4,4,4
44229,2681,1.9,94.3,2.4,1.4,52738.0,19.4,5.9,28.4,18.3,79.9,0,1,1,1,1,1,2,4,4,4
44230,2986,2.2,96.0,0.0,0.5,46765.0,13.3,3.9,28.0,21.8,86.5,0,1,1,1,1,1,2,4,4,4
44231,2650,2.6,95.9,0.3,1.1,51642.0,12.8,2.3,37.6,18.6,74.2,0,1,1,1,1,1,2,4,4,4
44232,2115,2.6,96.0,0.0,0.4,51538.0,7.3,14.0,46.9,20.3,74.3,0,1,1,1,1,1,2,4,4,4
44233,2680,13.7,80.1,5.1,0.6,67500.0,7.7,6.6,31.0,20.6,85.5,0,1,1,1,1,1,2,4,4,4
44234,3803,2.1,91.8,0.2,4.8,45698.0,8.7,5.8,39.1,18.9,87.7,0,1,1,1,1,1,2,4,4,4
44235,3355,11.1,84.6,3.0,0.9,79375.0,7.4,3.0,32.6,19.7,89.5,0,1,1,1,1,1,1,4,4,4
44236,2651,1.1,94.7,3.3,0.6,55898.0,8.0,2.2,38.4,19.7,90.3,0,1,1,1,1,1,2,4,4,4
44238,3951,5.4,89.0,1.2,1.5,51066.0,13.0,9.9,35.1,20.0,83.0,0,1,1,1,1,1,2,4,4,4
44239,4414,3.6,75.4,18.3,0.0,31088.0,28.5,9.9,38.3,20.5,68.3,0,1,1,1,1,1,2,4,4,6
44240,4361,5.0,87.9,1.9,0.7,57385.0,9.3,5.7,38.7,14.9,90.3,0,1,1,1,1,1,2,4,4,4
44241,2664,9.0,80.1,3.5,1.6,55688.0,12.5,9.8,32.9,20.2,82.1,0,1,1,1,1,1,2,4,4,4
44242,719,2.8,94.7,2.5,0.0,55682.0,8.5,15.7,54.0,12.4,60.9,0,1,1,1,1,1,2,4,4,4
44243,901,0.0,89.2,0.8,0.1,55719.0,10.3,1.3,18.3,36.3,61.1,0,1,1,1,1,1,2,4,4,4
44244,2103,1.9,97.4,0.0,0.0,51750.0,10.9,15.7,18.3,21.5,89.6,0,1,1,1,1,1,2,4,4,4
44245,923,0.9,97.9,1.1,0.0,59464.0,7.2,5.1,23.2,38.9,88.9,0,1,1,1,1,1,2,4,4,4
44246,6303,1.5,96.2,0.5,0.4,57703.0,13.1,5.1,35.0,19.3,78.2,0,1,1,1,1,1,2,4,4,4
44247,3373,2.7,94.4,0.7,0.2,45417.0,13.3,10.0,28.1,28.1,86.9,0,1,1,1,1,1,2,4,4,4
44248,4076,0.9,97.5,0.4,0.0,60597.0,10.3,8.6,31.9,21.4,86.4,0,1,1,1,1,1,2,4,4,4
44249,5156,3.5,92.5,0.3,1.8,55583.0,14.8,8.4,41.5,12.7,89.3,0,1,1,1,1,1,2,4,4,4
44250,3380,5.3,89.1,3.5,0.4,32939.0,27.7,11.7,26.9,27.7,81.6,0,1,1,1,1,1,2,4,4,6
44251,2551,4.2,94.6,0.3,0.0,44167.0,19.5,9.7,25.2,30.2,85.8,0,1,1,1,1,1,2,4,4,4
44252,1719,0.0,93.1,3.8,0.0,45833.0,13.0,3.5,38.2,14.3,87.9,0,1,1,1,1,1,2,4,4,4
44253,2872,4.1,93.3,1.0,1.2,40451.0,36.8,13.1,26.0,33.4,67.8,0,0,2,3,3,1,2,4,4,6
44254,1918,1.6,95.4,0.5,0.8,39329.0,18.0,4.2,31.7,10.7,72.6,0,1,1,1,1,1,2,4,4,4
44255,3461,0.0,99.4,0.0,0.0,63190.0,8.3,5.9,31.0,14.7,78.3,0,1,1,1,1,1,2,4,4,4
44256,2406,1.1,97.3,0.4,0.0,44522.0,20.9,8.8,35.2,16.3,82.2,0,1,1,1,1,1,2,4,4,4
44257,3062,1.7,97.6,0.1,0.4,44500.0,7.0,7.3,27.2,17.1,75.4,0,1,1,1,1,1,2,4,4,4
44258,2009,0.8,90.0,3.8,0.0,37689.0,13.2,6.4,17.3,25.1,73.1,0,1,1,1,1,1,2,4,4,4
44259,6191,2.1,91.2,2.4,1.6,47696.0,18.8,10.7,27.8,25.6,72.2,0,1,1,1,1,1,2,4,4,4
44260,1666,0.0,100.0,0.0,0.0,79271.0,14.8,9.3,39.7,20.7,84.0,0,1,1,1,1,1,2,4,4,4
44261,3381,0.9,98.8,0.1,0.1,51025.0,7.0,8.6,28.2,27.8,88.0,0,1,1,1,1,1,2,4,4,4
44262,4564,1.0,96.6,0.9,0.1,51953.0,8.2,7.4,33.5,14.4,81.1,0,1,1,1,1,1,2,4,4,4
44263,3160,0.8,94.1,0.6,0.2,46923.0,14.3,6.8,36.4,12.4,83.9,0,1,1,1,1,1,2,4,4,4
44264,1695,7.5,90.1,2.2,0.0,53180.0,8.8,8.8,26.7,20.6,76.4,0,1,1,1,1,1,2,4,4,4
44265,4145,2.2,95.1,1.6,0.3,51207.0,13.6,10.5,28.3,24.9,76.4,0,1,1,1,1,1,2,4,4,4
44266,7618,4.6,88.5,5.7,0.0,66360.0,7.5,7.9,31.3,22.1,79.7,0,1,1,1,1,1,1,1,1,4
44267,4082,2.2,94.6,0.3,0.6,51442.0,10.7,7.2,32.2,26.8,78.8,0,1,1,1,1,1,2,4,4,4
44268,6247,2.1,95.5,0.6,0.2,53559.0,12.5,6.4,32.7,19.1,82.8,0,1,1,1,1,1,2,4,4,4
44269,4898,4.7,82.6,4.3,3.5,57063.0,10.6,9.8,33.2,18.4,85.1,0,1,1,1,1,1,2,4,4,4
44270,6629,15.0,63.8,14.0,3.3,52106.0,7.5,6.3,31.2,21.1,87.2,0,1,1,1,1,1,1,4,4,4
44271,4621,2.9,94.4,0.3,0.3,49215.0,11.8,11.1,29.5,23.1,82.8,0,1,1,1,1,1,2,4,4,4
44272,7368,26.9,46.6,18.0,1.8,38866.0,16.8,12.2,27.1,29.9,57.0,0,0,0,3,0,0,0,0,0,0
44273,6994,18.1,61.5,10.6,1.2,49417.0,10.2,26.0,38.2,17.4,40.7,0,0,2,3,3,3,3,5,8,6
44274,6125,1.2,92.5,1.6,0.3,46673.0,21.5,7.3,26.9,26.6,73.2,0,1,1,1,1,1,2,4,4,4
44275,3430,10.9,80.2,4.9,1.6,49063.0,13.3,10.9,35.3,14.9,87.6,0,1,1,1,1,1,2,4,4,4
44276,5834,4.2,87.9,2.6,1.0,62905.0,5.4,6.3,33.1,19.8,81.0,0,1,1,1,1,1,1,4,4,4
44277,3307,12.2,71.3,9.9,0.0,34310.0,41.9,8.9,29.5,33.3,80.2,0,0,2,3,3,1,2,4,4,6
44278,3105,11.1,71.7,4.9,0.6,42787.0,26.3,5.0,25.6,28.5,69.4,0,1,1,1,1,1,2,4,4,6
44279,3748,1.4,89.1,2.6,2.9,35053.0,24.1,7.6,25.5,29.2,74.5,0,1,1,1,1,1,2,4,4,6
44280,4113,6.6,73.9,11.0,1.7,46967.0,14.5,7.4,36.9,20.3,77.2,0,1,1,1,1,1,2,4,4,4
44281,4181,0.2,93.9,0.8,3.6,60266.0,11.0,5.4,33.7,21.5,85.6,0,1,1,1,1,1,2,4,4,4
44282,2485,0.3,97.5,0.8,0.0,60335.0,9.7,6.5,27.4,16.2,85.8,0,1,1,1,1,1,2,4,4,4
44283,7374,2.8,93.4,0.0,2.4,60931.0,13.2,7.4,37.3,17.4,82.0,0,1,1,1,1,1,1,1,1,4
44284,3958,2.3,90.3,5.7,0.0,51818.0,19.7,6.7,43.1,19.5,80.6,0,1,1,1,1,1,2,4,4,4
44285,3814,14.4,69.0,9.8,3.1,25417.0,38.6,11.2,24.7,37.2,66.7,0,0,2,3,3,3,3,5,8,6
44286,4392,4.4,85.1,3.8,1.5,49970.0,12.4,5.4,43.2,17.2,85.1,0,1,1,1,1,1,2,4,4,4
44287,4928,6.1,83.3,5.1,4.2,75464.0,10.6,4.4,30.7,19.5,84.5,0,1,1,1,1,1,1,4,4,4
44288,3014,1.9,95.6,1.7,0.1,60125.0,12.6,8.3,32.2,12.3,80.4,0,1,1,1,1,1,2,4,4,4
44291,4116,7.7,68.3,9.0,10.2,88238.0,12.8,2.6,72.1,8.1,9.2,0,1,1,1,1,5,5,7,7,7
44292,1506,88.8,3.5,1.6,3.7,34931.0,32.7,5.8,9.0,45.7,9.1,0,0,0,3,0,0,0,0,5,5
44293,4340,6.4,79.2,2.8,5.6,130063.0,13.2,2.5,81.3,2.0,5.5,0,1,1,1,1,5,5,7,7,7
44294,4536,9.8,70.5,3.8,10.6,129107.0,7.6,5.9,71.7,11.0,2.8,0,1,1,1,1,5,5,7,7,7
44295,2756,9.0,76.2,3.0,7.8,106667.0,5.1,6.0,80.0,3.3,5.3,0,1,1,1,1,5,5,7,7,7
44296,4054,7.5,77.1,1.4,10.2,157534.0,5.1,3.7,78.9,1.9,4.6,0,1,1,1,1,5,5,7,7,7
44297,4410,6.7,69.5,4.8,12.8,161144.0,6.2,3.2,83.4,4.2,2.2,0,1,1,1,1,5,5,7,7,7
44298,1237,13.5,65.2,7.0,12.1,126726.0,8.6,5.3,82.9,2.6,1.2,0,1,1,1,1,5,5,7,7,7
44299,2401,19.3,60.2,11.5,6.6,112000.0,32.7,2.1,70.8,6.3,11.1,0,1,1,1,1,5,5,7,7,3
44300,7391,19.8,30.6,22.9,22.8,102899.0,24.3,10.4,63.4,10.9,6.2,0,1,1,0,4,5,5,7,3,3
44302,1232,88.3,3.0,1.8,6.9,64653.0,20.9,8.3,13.5,41.1,18.9,0,0,0,3,0,0,0,0,0,5
44303,4910,6.5,70.5,4.5,10.8,212159.0,5.9,5.3,81.4,2.8,6.4,0,1,1,1,1,5,5,7,7,7
44304,4907,65.1,17.9,2.5,14.2,37299.0,30.7,11.1,23.4,29.6,22.3,0,0,0,3,0,0,0,0,5,5
44305,4707,30.4,0.7,50.0,15.6,19510.0,54.9,28.1,25.2,41.4,4.1,0,0,2,3,3,3,3,5,8,8
44306,4289,28.1,2.3,48.3,20.3,22905.0,45.2,17.7,19.5,32.6,9.4,0,0,2,3,3,3,3,5,8,8
44307,1780,24.6,54.3,3.9,12.8,70125.0,10.7,6.4,55.4,15.4,42.8,0,1,1,1,1,5,5,3,3,3
44308,2800,10.1,29.2,35.0,18.7,85577.0,3.8,9.1,65.3,12.1,8.6,0,1,1,0,4,5,5,3,3,3
44309,3512,8.5,53.7,25.7,7.2,118565.0,12.6,2.1,73.7,9.3,8.9,0,1,1,1,1,5,5,7,7,7
