,TotalPop,Hispanic,White,Black,Asian,Income,Poverty,Unemployment,Professional,Service,Drive,1,2,3,4,5,6,7,8,9,10
43242,2407,6.6,80.3,4.6,5.2,71523.0,5.3,2.5,29.5,20.7,89.8,0,1,1,1,1,1,2,4,4,4
43243,5449,2.9,81.4,1.7,9.8,83325.0,3.3,3.8,37.2,10.7,90.4,0,1,1,1,1,1,1,1,1,1
43244,4076,2.6,68.7,9.7,15.8,56557.0,12.0,4.8,45.2,25.4,77.6,0,1,1,1,1,1,2,4,4,4
43245,4191,4.8,85.8,4.6,1.9,66616.0,9.5,3.6,44.6,13.4,86.6,0,1,1,1,1,1,1,1,1,4
43246,5142,0.6,88.9,0.6,8.9,99464.0,2.9,4.4,64.0,11.3,85.3,0,1,1,1,1,5,1,1,1,1
43247,5727,2.0,86.2,3.3,5.3,94960.0,10.5,5.1,59.0,12.4,83.8,0,1,1,1,1,5,1,1,1,1
43248,6121,1.8,95.2,0.9,1.0,83429.0,3.4,4.8,59.9,10.9,87.6,0,1,1,1,1,5,1,1,1,1
43249,6416,1.3,89.2,4.5,2.4,110781.0,1.5,4.9,69.6,5.9,83.8,0,1,1,1,1,5,1,1,1,1
43250,3048,0.0,92.7,4.4,0.0,78482.0,12.9,6.3,38.7,13.2,87.8,0,1,1,1,1,1,2,4,4,4
43251,8458,2.3,90.4,0.4,5.5,105701.0,3.7,0.8,51.9,11.6,80.8,0,1,1,1,1,5,1,1,1,1
43252,4167,1.1,98.2,0.1,0.2,69792.0,6.7,2.0,33.4,11.3,86.7,0,1,1,1,1,1,1,1,1,4
43253,3266,1.3,90.7,6.8,0.0,52500.0,9.5,2.9,36.4,14.9,91.6,0,1,1,1,1,1,2,4,4,4
43254,2381,0.5,96.7,0.0,2.5,105000.0,4.0,4.1,52.0,11.2,87.6,0,1,1,1,1,5,1,1,1,1
43255,3573,4.5,92.5,0.0,0.6,81250.0,3.4,2.1,42.2,10.6,84.9,0,1,1,1,1,1,1,1,1,1
43256,2829,4.0,92.2,0.7,2.3,90888.0,3.7,4.8,49.3,9.9,85.8,0,1,1,1,1,1,1,1,1,1
43257,3450,3.1,89.7,2.0,4.6,89816.0,3.2,5.3,48.7,12.5,89.7,0,1,1,1,1,1,1,1,1,1
43258,8068,2.5,89.3,2.7,5.5,100109.0,2.9,1.9,54.5,14.0,85.2,0,1,1,1,1,5,1,1,1,1
43259,4133,6.8,79.3,8.6,4.4,71515.0,7.6,8.3,36.9,24.9,75.2,0,1,1,1,1,1,2,4,4,4
43260,4719,3.3,77.1,5.4,10.3,65536.0,6.7,3.0,53.1,10.8,85.6,0,1,1,1,1,1,1,1,1,1
43261,2162,1.2,86.4,0.5,6.7,103482.0,1.6,4.1,55.7,9.4,90.9,0,1,1,1,1,5,1,1,1,1
43262,1742,5.0,88.6,0.6,3.4,87917.0,7.9,7.1,52.5,12.5,88.4,0,1,1,1,1,1,1,1,1,4
43263,2955,1.8,93.4,1.5,0.0,83333.0,4.4,7.4,38.8,12.9,88.1,0,1,1,1,1,1,1,1,1,4
43264,5443,5.0,77.6,4.1,11.9,72043.0,4.9,1.2,56.2,8.7,85.0,0,1,1,1,1,5,1,1,1,1
43265,3073,7.9,58.8,7.1,26.2,58835.0,8.1,2.9,54.4,11.6,77.4,0,1,1,1,1,1,1,3,3,3
43266,2818,0.0,98.9,0.5,0.2,82056.0,3.8,5.2,43.3,14.8,79.6,0,1,1,1,1,1,1,1,1,4
43267,2811,1.8,94.6,0.1,0.6,73385.0,7.5,5.5,40.1,9.3,82.4,0,1,1,1,1,1,1,1,4,4
43268,1752,2.2,95.5,0.7,0.0,57375.0,11.3,2.6,40.3,9.7,80.3,0,1,1,1,1,1,2,4,4,4
43269,3381,3.3,95.5,0.3,0.9,79974.0,5.4,4.6,36.6,12.6,85.1,0,1,1,1,1,1,1,1,1,4
43271,2539,1.5,95.5,0.0,0.9,51250.0,12.0,5.4,31.4,23.1,92.8,0,1,1,1,1,1,2,4,4,4
43272,4880,1.9,93.0,2.2,2.4,41612.0,20.1,5.6,32.4,24.7,58.3,0,1,1,1,1,1,2,4,4,4
43273,3638,1.6,95.3,0.0,0.4,47827.0,12.7,4.6,29.5,16.2,72.4,0,1,1,1,1,1,2,4,4,4
43274,3693,1.1,96.3,0.3,0.0,47659.0,15.2,8.8,36.3,17.9,85.9,0,1,1,1,1,1,2,4,4,4
43275,3714,0.9,94.4,1.6,0.5,38511.0,23.2,11.6,30.6,20.2,86.0,0,1,1,1,1,1,2,4,4,4
43276,3420,0.4,96.7,0.7,0.0,44713.0,18.0,8.1,32.6,23.1,77.2,0,1,1,1,1,1,2,4,4,4
43277,6178,5.2,83.5,6.3,3.8,48077.0,19.4,8.4,32.6,31.8,43.7,0,1,1,1,1,1,2,4,4,6
43278,3652,1.4,98.0,0.1,0.5,52693.0,13.7,6.7,31.9,17.2,79.3,0,1,1,1,1,1,2,4,4,4
43279,3212,0.0,99.5,0.0,0.2,44179.0,20.4,3.3,33.8,22.9,90.7,0,1,1,1,1,1,2,4,4,4
43280,3933,1.1,95.3,1.2,1.7,42830.0,14.7,8.9,27.8,26.2,83.8,0,1,1,1,1,1,2,4,4,4
43281,4773,0.4,97.4,0.2,0.5,45345.0,15.3,9.3,28.2,18.8,80.5,0,1,1,1,1,1,2,4,4,4
43282,3766,0.6,97.1,0.0,0.6,46520.0,13.6,5.5,29.2,18.2,83.3,0,1,1,1,1,1,2,4,4,4
43284,5058,77.7,0.8,18.4,3.1,62773.0,22.9,12.4,29.1,12.8,51.8,0,0,0,3,0,0,0,0,0,0
43285,5944,66.4,3.4,28.6,0.6,82697.0,11.1,7.4,38.8,23.2,44.1,0,0,0,3,0,0,0,0,0,0
43286,6115,63.3,3.7,31.1,0.0,33118.0,25.9,9.1,21.4,38.8,36.2,0,0,0,3,0,0,0,0,5,5
43287,2817,53.4,7.7,33.1,2.4,40117.0,31.1,13.4,34.2,23.0,20.1,0,0,0,3,0,0,0,0,0,5
43288,9608,60.6,1.4,36.6,1.1,18370.0,52.6,19.0,12.9,31.2,26.6,0,0,0,3,0,3,3,0,5,5
43289,4733,60.2,0.2,37.4,0.0,17426.0,49.3,18.2,16.6,40.4,4.8,0,0,2,3,3,3,3,5,5,5
43291,5760,76.7,2.4,20.2,0.1,22771.0,46.1,6.5,16.2,43.2,7.1,0,0,0,3,0,0,0,0,5,5
43292,2958,69.5,0.0,29.7,0.0,17383.0,63.2,10.5,20.2,39.1,11.7,0,0,0,3,0,3,3,0,5,5
43293,4538,65.6,1.8,32.2,0.0,13216.0,50.3,11.4,19.6,42.4,5.8,0,0,0,3,0,0,0,0,5,5
